no,code,name,status,spec_note
1,1,歩行者用道路,valid,※1
2,2,自転車用道路,valid,
3,3,自転車及び歩行者用道路,valid,
4,4,通行止め,valid,※1
5,5,車両通行止め,valid,※1
6,6,大型自動二輪車及び普通自動二輪車二人乗り通行禁止,valid,※1
7,7,車両通行止め(踏切),valid,※1
8,8,歩行者通行止め,valid,
9,9,重量制限,valid,
10,10,高さ制限,valid,
11,11,一方通行,valid,
12,12,指定方向外進行禁止,valid,
13,13,車両進入禁止,valid,
14,14,歩行者横断禁止,valid,
15,15,中央線,valid,
16,16,中央線の変移,valid,
17,17,追越しのための右側部分はみ出し通行禁止,valid,
18,18,右側通行,unused,未使用
19,19,立入り禁止部分,valid,※1、3
20,20,車両通行帯,valid,
21,21,車両通行区分,valid,
22,24,路線バス等優先通行帯,valid,
23,25,牽引自動車の自動車専用道路第一通行帯通行指定区間,unused,未使用
24,26,車線境界線,unused,未使用
25,27,軌道敷内通行可,valid,
26,49,最低速度,valid,
27,50,車両横断禁止,valid,※1
28,51,転回禁止,valid,※1
29,52,進路変更禁止,valid,
30,53,追越し禁止,valid,
31,54,優先道路,valid,
32,55,原動機付自転車の右折方法(二段階),valid,※1
33,56,原動機付自転車の右折方法(小回り),valid,※1
34,57,右左折の方法,valid,
35,58,進行方向別通行区分,valid,
36,60,進行方向,valid,
37,61,徐行,valid,
38,62,前方優先道路,valid,※1
39,63,一時停止,valid,
40,64,優先本線車道,valid,※1
41,65,駐停車禁止,valid,※1
42,69,駐車余地,valid,
43,70,駐車可,valid,
44,71,停車可,valid,
45,72,時間制限駐車区間,valid,
46,76,停止禁止部分,valid,※1
47,77,警笛鳴らせ及び警笛区間,valid,※1、3
48,81,普通自転車歩道通行可,valid,
49,82,普通自転車の歩道通行部分,valid,
50,83,普通自転車の交差点進入禁止,valid,
51,84,並進可,valid,
52,85,横断歩道,valid,
53,86,斜め横断可,valid,
54,87,自転車横断帯,valid,
55,88,安全地帯,valid,
56,89,安全地帯又は路上障害物接近,unused,未使用
57,90,導流帯,valid,※1
58,91,路面電車停留場,valid,
59,92,停止線,valid,
60,93,二段停止線,valid,
61,94,左折可,valid,
62,95,危険物積載車両通行止め,unused,未使用
63,96,最大幅,unused,未使用
64,97,自動車専用,unused,未使用※5
65,98,信号機,valid,
66,100,高齢運転者等標章自動車駐車可,valid,
67,101,高齢運転者等標章自動車停車可,valid,
68,102,高齢運転者等専用時間制限駐車区間,valid,
69,103,停車方法指定,unused,未使用※5
70,106,環状の交差点における右回り通行,valid,
71,107,車両通行帯及び車両通行区分(組合せ),valid,※3
72,109,停車・駐車禁止交差点,unused,未使用※5
73,110,普通自転車専用通行帯,valid,※3
74,111,専用通行帯(普通自転車専用通行帯を除く。),valid,※3
75,112,最高速度(区間),valid,※2
76,113,最高速度可変(区間),valid,※2
77,114,最高速度(区域),valid,※2
78,115,駐車禁止,valid,※1
79,116,駐車方法の指定,valid,※2
80,117,路側帯,valid,※2
81,118,車両通行帯及び進行方向別通行区分(組合せ),valid,※4
82,119,車両通行帯・進行方向別通行区分・進路変更禁止(組合せ),valid,※3
