code,n,source
63,1521191,parse_report.json
85,1018709,parse_report.json
12,285429,parse_report.json
115,269203,parse_report.json
98,198976,parse_report.json
112,190882,parse_report.json
92,124988,parse_report.json
11,112771,parse_report.json
58,92697,parse_report.json
20,81356,parse_report.json
87,74986,parse_report.json
81,62112,parse_report.json
119,58580,parse_report.json
16,51109,parse_report.json
17,40212,parse_report.json
5,29642,parse_report.json
4,22561,parse_report.json
117,17683,parse_report.json
1,17109,parse_report.json
52,16099,parse_report.json
57,11951,parse_report.json
56,10758,parse_report.json
3,9813,parse_report.json
7,9432,parse_report.json
116,5293,parse_report.json
13,5173,parse_report.json
76,5131,parse_report.json
21,5012,parse_report.json
114,4798,parse_report.json
70,4310,parse_report.json
110,3988,parse_report.json
65,3753,parse_report.json
51,3596,parse_report.json
15,2173,parse_report.json
118,1921,parse_report.json
14,1755,parse_report.json
111,1452,parse_report.json
86,1402,parse_report.json
8,1397,parse_report.json
55,1303,parse_report.json
82,1192,parse_report.json
72,1173,parse_report.json
93,845,parse_report.json
83,742,parse_report.json
60,674,parse_report.json
24,611,parse_report.json
19,540,parse_report.json
90,507,parse_report.json
6,360,parse_report.json
100,360,parse_report.json
71,214,parse_report.json
94,205,parse_report.json
106,190,parse_report.json
77,185,parse_report.json
61,163,parse_report.json
50,147,parse_report.json
53,143,parse_report.json
69,102,parse_report.json
62,50,parse_report.json
107,50,parse_report.json
88,49,parse_report.json
113,47,parse_report.json
49,36,parse_report.json
2,30,parse_report.json
64,19,parse_report.json
54,13,parse_report.json
9,6,parse_report.json
27,6,parse_report.json
91,2,parse_report.json
