code,basis,basis_kind,figure_checked,note
16,標示205,marking,yes,中央線。変移は折れた線で表す
19,標示106,marking,yes,立入り禁止部分。角丸の輪郭の中を斜縞で埋める
20,標示109,marking,yes,車両通行帯。長い破線
21,標示109の3,marking,yes,車両通行区分。実物は文字（大型・普通など）。文字を使えないため自動車の絵で代える
24,標示109の7,marking,yes,路線バス等優先通行帯。実物は文字。バスの絵と破線で代える
52,標示102の2,marking,yes,進路変更禁止。車線境界の黄の実線
57,標示111,marking,yes,右左折の方法。交差点内を曲がる軌跡
58,標示110,marking,yes,進行方向別通行区分。軸にかえしが付いたL字の矢印
60,標示204,marking,yes,進行方向。まっすぐな矢印
64,標示109の2,marking,yes,優先本線車道。本線に合流する線
70,標識403,sign,no,駐車可。Commons に単体のSVGが無い。実物は青地に白の P
76,標示107,marking,yes,停止禁止部分。枠の内側に短い斜線
82,標示114の3,marking,yes,普通自転車の歩道通行部分。自転車と区分線
83,標示114の4,marking,yes,普通自転車の交差点進入禁止。自転車と進入を塞ぐ横棒
86,標示201の2,marking,yes,斜め横断可。交差点の四隅を斜めに横断する縞
90,標示208の2,marking,yes,導流帯。斜縞
91,標示209,marking,yes,路面電車停留場。軌道の脇の細長い島
92,標示203,marking,yes,停止線。太い白線1本
93,標示203の2,marking,yes,二段停止線。白線2本
94,なし,none,no,左折可。標示板（青地に白の矢印）。別表第六に該当が無い
98,なし,none,no,信号機。標識も標示も無い（208の2 信号機ありは警戒標識）。3灯の信号機で表す
102,なし,none,no,高齢運転者等専用時間制限駐車区間。318 と補助標識の組合せ
107,標示109+109の3,marking,yes,車両通行帯及び車両通行区分。通行帯の線＋自動車＋矢印
110,標示109の6,marking,yes,普通自転車専用通行帯。実物は文字。自転車の絵で代える
111,標示109の6,marking,yes,専用通行帯。実物は文字。バスの絵と実線で代える
116,標示112・113・114,marking,yes,駐車方法の指定（平行・直角・斜め駐車）。駐車枠で代表させる
117,標示108,marking,yes,路側帯。端に寄せた線
118,標示109+110,marking,yes,車両通行帯及び進行方向別通行区分。破線＋L字の矢印
119,標示109+110+102の2,marking,yes,通行帯・進行方向別・進路変更禁止。実線＋L字の矢印
