code,commons_file,ref,expect
1,325-4,325の4,same
2,325-2,325の2,same
3,325-3,325の3,same
4,301,301,same
5,302,302,same
6,310-2,310の2,same
7,302,302＋踏切,same
8,331,331,same
9,320,320,same
10,321,321,same
11,326-A-L,326-A,same
12,311-B-R,311,same
13,303,303,same
14,332,332,same
27,402,402,same
49,324_(30),324,same
50,312,312,same
51,313,313,same
53,314,314,same
54,405,405,same
55,327-8,327の8,same
56,327-9,327の9,same
61,329,329,same
62,405,405,different
63,330,330,same
65,315,315,same
71,404,404,same
77,328,328,same
81,325-3,325の3,same
84,401,401,same
85,407-A,407,same
87,407-2,407の2,same
88,408,408,same
101,404,404の2,same
106,327-10,327の10,same
112,323_(50),323,same
113,323_(50),323,same
114,323_(50),323（区域）,same
115,316,316,same
