code,commons_file,sign_no,note
1,325-4,325の4,
2,325-2,325の2,
3,325-3,325の3,
4,301,301,
5,302,302,
6,310-2,310の2,
7,207-B,207のB,車両通行止め(踏切)。302 と同じ意匠になるため、踏切と分かる警戒標識を使う
8,331,331,
9,320,320,
10,321,321,
11,326-A-L,326-A,
12,311-B-R,311-B,方向は設置ごとに違うため代表を1つ
13,303,303,
14,332,332,
15,406,406,
17,314,314,
27,402,402,
49,324_(30),324,
50,312,312,
51,313,313,
53,314_and_508-2,314＋508の2,
54,405,405,
55,327-8,327の8,
56,327-9,327の9,
61,329-A,329,
62,329-2,329の2,
63,330-A,330,
65,315,315,
69,316_and_504,316＋504,
71,404,404,
72,318,318,
77,328,328,
81,325-3,325の3,3 と同じ標識（普通自転車等及び歩行者等専用）
84,401,401,
85,407-A,407,
87,407-2,407の2,
88,408,408,
100,402_and_503-D,402の2,高齢運転者等標章自動車駐車可。403の2(停車可)と取り違えていたので直した
101,403_and_503-D,403の2,高齢運転者等標章自動車停車可
106,327-10,327の10,
112,323_(50),323,速度の数字は設置ごとに違うため代表を1つ
113,323_(50),323,可変式も意匠は 323
114,323_(50),323,区域も意匠は 323
115,316,316,
